$\theta$ True IC Fitted IC N T True Value $\hat{\theta}$ $SE_\theta$ $\hat{SE}$ Bias RB RMSE cov pow
U11 Null largeK 200 5 0.8 0.781 0.048 0.046 -0.019 -0.024 0.051 0.918 1
U22 Null largeK 200 5 0.6 0.608 0.046 0.045 0.008 0.013 0.047 0.948 1
U33 Null largeK 200 5 2 2.004 0.093 0.095 0.004 0.002 0.093 0.952 1
U44 Null largeK 200 5 1 0.921 0.058 0.059 -0.079 -0.079 0.098 0.73 1
U55 Null largeK 200 5 1.5 1.506 0.076 0.075 0.006 0.004 0.076 0.944 1
U66 Null largeK 200 5 0.4 0.477 0.043 0.04 0.077 0.192 0.088 0.496 1
Z21 Null FreeParm 20 50 1.2 1.2 0.004 0.004 0 0 0.004 0.968 1
Z31 Null FreeParm 20 50 0.8 0.8 0.005 0.005 0 0 0.005 0.943 1
Z52 Null FreeParm 20 50 0.9 0.9 0.006 0.006 0 0 0.006 0.95 1
Z62 Null FreeParm 20 50 1.1 1.1 0.004 0.005 0 0 0.004 0.968 1
V11 Null FreeParm 20 50 0.05 0.477 0.036 0.043 0.427 8.533 0.428 0 1
V21 Null FreeParm 20 50 0.02 0.095 0.027 0.027 0.075 3.75 0.08 0.234 0.936
V22 Null FreeParm 20 50 0.05 0.497 0.038 0.036 0.447 8.943 0.449 0 1
T11 Null FreeParm 20 50 1.2 1.199 0.003 0.003 -0.001 0 0.003 0.965 1
T21 Null FreeParm 20 50 -0.4 -0.4 0.003 0.004 0 0 0.003 0.989 1
T12 Null FreeParm 20 50 0.6 0.6 0.004 0.004 0 -0.001 0.004 0.957 1
T22 Null FreeParm 20 50 0.7 0.7 0.004 0.003 0 -0.001 0.004 0.94 1
U11 Null FreeParm 20 50 0.8 0.798 0.041 0.043 -0.002 -0.003 0.041 0.965 1
U22 Null FreeParm 20 50 0.6 0.595 0.039 0.039 -0.005 -0.008 0.039 0.936 1
U33 Null FreeParm 20 50 2 2.001 0.089 0.093 0.001 0.001 0.089 0.957 1
U44 Null FreeParm 20 50 1 1.002 0.052 0.052 0.002 0.002 0.052 0.954 1
U55 Null FreeParm 20 50 1.5 1.496 0.075 0.072 -0.004 -0.003 0.075 0.94 1
U66 Null FreeParm 20 50 0.4 0.397 0.031 0.031 -0.003 -0.007 0.031 0.936 1
Z21 Null FreeParm 20 50 1 -0.004 0.092 0.091 -1.004 -1.004 1.008 0 0.067
Z31 Null FreeParm 20 50 0.5 -0.005 0.094 0.099 -0.505 -1.011 0.514 0 0.032
Z52 Null FreeParm 20 50 1.2 0.014 0.023 0.023 -1.186 -0.988 1.186 0 0.085
Z62 Null FreeParm 20 50 0.3 -0.003 0.016 0.018 -0.303 -1.008 0.303 0 0.064
V11 Null FreeParm 20 50 0.7 0.021 0.031 0.032 -0.679 -0.971 0.68 0 0.035
V21 Null Null 20 50 1.2 1.2 0.004 0.004 0 0 0.004 0.969 1
V22 Null Null 20 50 0.8 0.8 0.005 0.005 0 0 0.005 0.945 1
T11 Null Null 20 50 0.9 0.9 0.006 0.006 0 0 0.006 0.956 1
T21 Null Null 20 50 1.1 1.1 0.005 0.005 0 0 0.005 0.966 1
T12 Null Null 20 50 0.05 0.477 0.036 0.043 0.427 8.537 0.428 0 1
T22 Null Null 20 50 0.02 0.094 0.027 0.027 0.074 3.696 0.079 0.232 0.935
U11 Null Null 20 50 0.05 0.497 0.037 0.036 0.447 8.937 0.448 0 1
U22 Null Null 20 50 1.2 1.199 0.003 0.003 -0.001 0 0.003 0.962 1
U33 Null Null 20 50 -0.4 -0.4 0.003 0.004 0 0 0.003 0.99 1
U44 Null Null 20 50 0.6 0.6 0.004 0.004 0 0 0.004 0.952 1
U55 Null Null 20 50 0.7 0.7 0.004 0.003 0 -0.001 0.004 0.945 1
U66 Null Null 20 50 0.8 0.798 0.042 0.043 -0.002 -0.002 0.042 0.962 1
Z21 Null Null 20 50 0.6 0.596 0.039 0.039 -0.004 -0.007 0.039 0.932 1
Z31 Null Null 20 50 2 2 0.089 0.093 0 0 0.088 0.956 1
Z52 Null Null 20 50 1 1.004 0.053 0.052 0.004 0.004 0.053 0.949 1
