"modelName","ICspecTRUE","ICfitted","N","T","param_type","bias","rel_bias","rmse","coverage","sd_minus_se","power"
"PFAnons","Null","largeK",20,50,"time_series",-0.000322549614605261,-0.00041963158710136,0.00353801200398657,0.961805555555556,-0.000157730874482448,1
"PFAnons","Null","largeK",200,5,"measurement",-0.0592011494147723,-0.0477384961296354,0.106312105891287,0.5744,0.000970155053364331,1
"PFAnons","Null","largeK",200,5,"process_noise",0.167725998187289,0.486702316122324,0.181313728408725,0.299333333333333,0.00201777419061041,0.971333333333333
"PFAnons","Null","largeK",200,5,"time_series",-0.0727647063724951,-0.079954435502592,0.0836548119594949,0.536,-0.00250672969001292,1
"PFAnons","Null","Null",20,50,"measurement",-0.000676217539271434,-0.00112667526110477,0.0345789360675376,0.952901023890785,-0.000349968585077043,1
"PFAnons","Null","Null",20,50,"process_noise",-0.0108054109444315,-0.0378288360578941,0.035894326245842,0.940841865756541,-0.00198951111956661,0.978384527872582
"PFAnons","Null","Null",20,50,"time_series",-0.000297699097678364,-0.000339966140241988,0.00351013924585944,0.962457337883959,-0.000183292481986724,1
"PFAnons","Null","Null",200,5,"measurement",0.000664047820456909,0.000632153373423316,0.0505614700434218,0.9458,0.000218856023327747,1
"PFAnons","Null","Null",200,5,"process_noise",-0.00861643587512986,-0.0272120753513646,0.047758990991689,0.914,0.00177951053401967,0.96
"PFAnons","Null","Null",200,5,"time_series",-0.00121394099368109,0.000282541470583723,0.0415243662444848,0.96,-0.00183894595014841,1
"PFAnonsMild","diffuse","deJong",20,50,"measurement",-0.00148098041523718,-0.00162250183622617,0.0334689273820566,0.941642228739003,0.00110385627465526,1
"PFAnonsMild","diffuse","deJong",20,50,"process_noise",-0.00661985706312165,-0.177880340844333,0.0133122717739412,0.853372434017595,0.00196497699230414,0.773216031280547
"PFAnonsMild","diffuse","deJong",20,50,"time_series",-5.55803853048709e-05,-9.39276190460515e-05,0.00274789666085785,0.957478005865103,-0.000180129370737055,1
"PFAnonsMild","diffuse","EKF",20,50,"measurement",-0.000763859721505966,-0.000563767956353822,0.0327281606476544,0.946627565982405,0.000363261359050829,1
"PFAnonsMild","diffuse","EKF",20,50,"process_noise",-0.00679644725401912,-0.183421442789724,0.0141241178581012,0.856304985337243,0.00280643323926148,0.772238514173998
