"modelName","ICspecTRUE","ICfitted","N","T","param_name","true_value","param_type","param_mean","param_sd","se_mean","se_sd","sd_minus_se","bias","rel_bias","rmse","coverage","power"
"PFAnonsMild","Null","deJong",20,50,"U55",1.5,"measurement",1.50226052961705,0.0658260601554957,0.0692043898847951,0.00294432434158192,-0.00337832972929941,0.00226052961704726,0.00150701974469817,0.0657716139634318,0.951841359773371,1
"PFAnonsMild","Null","deJong",20,50,"U66",0.4,"measurement",0.397311344123145,0.0201468866017469,0.0215879159971745,0.0009200257141023,-0.0014410293954276,-0.00268865587685468,-0.00672163969213671,0.0202971934068937,0.957507082152975,1
"PFAnonsMild","Null","EKF",20,50,"Z21",1.2,"measurement",1.19882074969134,0.0117849164708221,0.0116054823626444,0.00126567411703321,0.000179434108177719,-0.00117925030865673,-0.000982708590547277,0.0118301900314775,0.944444444444444,1
"PFAnonsMild","Null","EKF",20,50,"Z31",0.8,"measurement",0.799124625225209,0.0135687031420074,0.0139231159524214,0.00150083577951378,-0.000354412810413948,-0.000875374774791271,-0.00109421846848909,0.0135812299177828,0.951388888888889,1
"PFAnonsMild","Null","EKF",20,50,"Z52",0.9,"measurement",0.897699107216718,0.0167301954164318,0.0164485266522657,0.00178247314825773,0.000281668764166118,-0.00230089278328205,-0.00255654753698005,0.0168684803970262,0.939814814814815,1
"PFAnonsMild","Null","EKF",20,50,"Z62",1.1,"measurement",1.09712683628102,0.0130133742484668,0.0136926903153409,0.00147724785196888,-0.00067931606687407,-0.00287316371897761,-0.00261196701725237,0.0133120610739784,0.944444444444444,1
"PFAnonsMild","Null","EKF",20,50,"V11",0.05,"process_noise",0.0389125935663635,0.0132126132467847,0.012133699774779,0.00104062626767592,0.0010789134720057,-0.0110874064336365,-0.221748128672729,0.0172365781326406,0.842592592592593,0.886574074074074
"PFAnonsMild","Null","EKF",20,50,"V21",0.02,"process_noise",0.0151199773188276,0.00700074571806585,0.00788536073838318,0.000645730903091007,-0.000884615020317335,-0.00488002268117237,-0.244001134058618,0.00852711040644905,0.939814814814815,0.460648148148148
"PFAnonsMild","Null","EKF",20,50,"V22",0.05,"process_noise",0.0465281027003752,0.0134895934839137,0.0082806393421709,0.000599157831488252,0.00520895414174279,-0.00347189729962483,-0.0694379459924965,0.0139140927974827,0.819444444444444,0.969907407407407
"PFAnonsMild","Null","EKF",20,50,"T11",1.2,"time_series",1.19945572764981,0.00506995237329137,0.00473973560357259,0.000507696677117212,0.000330216769718783,-0.000544272350190278,-0.000453560291825232,0.00509324537924403,0.930555555555556,1
"PFAnonsMild","Null","EKF",20,50,"T21",-0.4,"time_series",-0.400092355895099,0.00570039472827764,0.00789075749183689,0.000857509156915634,-0.00219036276355925,-9.23558950990389e-05,0.000230889737747597,0.00569454220454993,0.993055555555556,1
"PFAnonsMild","Null","EKF",20,50,"T12",0.6,"time_series",0.599165729747728,0.00850845343767469,0.00901385082516055,0.00094666676563159,-0.000505397387485859,-0.000834270252271785,-0.00139045042045297,0.00853945013222095,0.960648148148148,1
"PFAnonsMild","Null","EKF",20,50,"T22",0.7,"time_series",0.699819819859457,0.0049156854185246,0.00492039472065869,0.000539869913791217,-4.70930213408455e-06,-0.00018018014054344,-0.000257400200776343,0.00491329756040632,0.946759259259259,1
"PFAnonsMild","Null","EKF",20,50,"U11",0.8,"measurement",0.797012788872344,0.0400949197531835,0.0384004247033807,0.00178973008225071,0.00169449504980283,-0.00298721112765588,-0.00373401390956984,0.040159740014643,0.939814814814815,1
"PFAnonsMild","Null","EKF",20,50,"U22",0.6,"measurement",0.599473628663331,0.0300224503096017,0.0314512594472357,0.00137494163390482,-0.00142880913763393,-0.000526371336668552,-0.000877285561114253,0.0299923012917978,0.972222222222222,1
