"modelName","ICspecTRUE","ICfitted","N","T","AIC","BIC","finalN","lv_rmse","time"
"PFAnonsModerate","diffuse","EKF",200,5,3803.17115743582,3875.73413949988,500,0.42207260793375,2.65787999999942
"PFAnonsModerate","diffuse","FreeParm",200,5,4129.39436026243,4201.95734232648,500,0.412933996118301,3.9206800000018
"PFAnonsModerate","diffuse","largeK",200,5,4503.16136808503,4575.72435014908,500,0.422003547568188,2.54238000000094
"PFAnonsModerate","diffuse","Null",200,5,4772.99607088254,4845.5590529466,500,0.966087887554612,2.72365999999945
"PFAstat","FreeParm","deJong",20,50,437.604032349607,459.510142367794,500,0.426016604990726,5.66328599999999
"PFAstat","FreeParm","deJong",200,5,3751.69003628912,3824.25301835317,494,0.466482944137577,11.561248987854
"PFAstat","FreeParm","EKF",20,50,437.604032349607,459.510142367794,500,0.42601660497896,3.22174999999985
"PFAstat","FreeParm","EKF",200,5,3751.66812373329,3824.23110579734,497,0.466543604514069,5.29672434607659
"PFAstat","FreeParm","FreeParm",20,50,439.844151413809,461.750261431996,500,0.424918988719263,5.23951799999978
"PFAstat","FreeParm","FreeParm",200,5,3993.52436793368,4066.08734999774,500,0.426612467100207,7.85199600000013
"PFAstat","FreeParm","largeK",20,50,444.602157800634,466.508267818822,500,0.42601270588041,3.2006479999999
"PFAstat","FreeParm","largeK",200,5,4451.55108488731,4524.11406695137,498,0.466398355332263,5.11233333333335
"PFAstat","FreeParm","ModelImplied",20,50,440.326560831271,462.232670849459,499,0.425108594293011,3.22913226452879
"PFAstat","FreeParm","ModelImplied",200,5,4027.62733572125,4100.1903177853,466,0.430513031181859,5.8009828326179
"PFAstat","FreeParm","Null",20,50,443.616544577493,465.522654595681,499,0.458581612807399,3.23659519038123
"PFAstat","FreeParm","Null",200,5,4244.81500708588,4317.37798914993,497,0.703533931298048,5.21590342052294
"PFAstat","ModelImplied","deJong",20,50,437.472348190401,459.378458208588,500,0.426673047505854,5.64880599999997
"PFAstat","ModelImplied","deJong",200,5,3751.5825356976,3824.14551776166,492,0.462754294007607,11.447581300813
"PFAstat","ModelImplied","EKF",20,50,437.472348190401,459.378458208588,500,0.426673047510481,3.21534800000004
"PFAstat","ModelImplied","EKF",200,5,3751.40939235616,3823.97237442022,499,0.462735652104729,5.28365731462924
"PFAstat","ModelImplied","FreeParm",20,50,440.118468910227,462.024578928415,500,0.425744344466373,5.36588200000002
"PFAstat","ModelImplied","FreeParm",200,5,4030.30455624091,4102.86753830496,498,0.429570585507698,7.89054016064258
"PFAstat","ModelImplied","largeK",20,50,444.470502487025,466.376612505213,500,0.426668841607696,3.21713800000006
"PFAstat","ModelImplied","largeK",200,5,4451.25019132227,4523.81317338632,499,0.462604942375024,5.07664929859716
"PFAstat","ModelImplied","ModelImplied",20,50,440.217072035685,462.123182053873,500,0.425602905799225,3.21222600000016
"PFAstat","ModelImplied","ModelImplied",200,5,4031.25751343751,4103.82049550156,499,0.429443166916439,5.20774949899808
"PFAstat","ModelImplied","Null",20,50,443.929684232649,465.835794250837,500,0.460310617565431,3.23637600000004
"PFAstat","ModelImplied","Null",200,5,4269.51005880351,4342.07304086757,493,0.696177339668107,5.16241784989852
"PFAstat","Null","deJong",20,50,437.420760650501,459.326870668689,498,0.426094387965167,5.64503614457902
"PFAstat","Null","deJong",200,5,3746.69539688599,3819.25837895005,489,0.494824452776199,11.5343026584863
"PFAstat","Null","EKF",20,50,437.420760650501,459.326870668689,498,0.426094387928382,3.21284939759003
"PFAstat","Null","EKF",200,5,3746.63879520691,3819.20177727097,488,0.494837149906862,5.29830942622968
"PFAstat","Null","FreeParm",20,50,438.321623726957,460.227733745144,187,0.420823210463259,7.72155614973299
"PFAstat","Null","FreeParm",200,5,3863.54106501904,3936.1040470831,200,0.382300237361942,13.1892049999999
"PFAstat","Null","largeK",20,50,444.417623118698,466.323733136886,498,0.426091523094664,3.19171084337415
"PFAstat","Null","largeK",200,5,4446.30176679895,4518.86474886301,488,0.494809892947676,5.07913319672137
"PFAstat","Null","ModelImplied",20,50,439.43045976989,461.336569788078,498,0.424406948043103,3.21728514056198
"PFAstat","Null","ModelImplied",200,5,3945.56797466825,4018.13095673231,490,0.421625352450555,5.27407346938743
"PFAstat","Null","Null",20,50,438.467702870533,460.373812888721,498,0.420339421611684,3.20369477911624
"PFAstat","Null","Null",200,5,3864.91557783785,3937.47855990191,495,0.381150370580268,5.14907878787884
